team_number,name,nickname,location,website
114,Google / Qualcomm / Western Digital / Intuitive Surgical / CK Tool / Applied Welding Technology / Advanced Component Technology / Glbert Spray Coat &amp; Los Altos High School,Eagle Strike,"Los Altos, CA, USA",http://lahsrobotics.org/portal
115,Google/Lockheed Martin/Fremont Union High School Foundation/Symantec Corporation/Intuitive Surgical/Northrop Grumman &amp; Monta Vista High School,MVRT,"Cupertino, CA, USA",http://www.mvrt.com
116,NASA Headquarters &amp; Herndon High School,Epsilon Delta,"Herndon, VA, USA",http://www.team116.org/
117,Comcast / The Heinz Endowments &amp; Taylor Allderdice High School,The Steel Dragons,"Pittsburgh, PA, USA",http://www.steeldragons117.com
118,NASA-JSC &amp; Clear Creek ISD,Robonauts,"League City, TX, USA",http://www.robonauts.org
120,NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation &amp; Cleveland Metropolitan School District,Cleveland&#39;s Team,"Cleveland, OH, USA",None
121,NDEP / Raytheon / Town of Middletown / Blowfish / Ferreira-Fenton Fund &amp; Middletown High School &amp; Portsmouth High School,Rhode Warriors,"Newport County, RI, USA",http://www.rhodewarrior.org/
122,NASA Langley Research Center/CACI Corporate Business Development/Booz Allen Hamilton/BAE Systems Norfolk Ship Repair/jcpenney/Canon Virginia Inc./Jefferson Lab/Planet Fitness of FLA/Thomas Nelson Community College &amp; New Horizons Regional Education Center High School,NASA Knights,"Hampton, VA, USA",http://www.team122.org
123,General Motors Detroit Hamtramck Assembly/Southfield Machining Inc./Ford Foundation/Bentley Systems/DADARA &amp; Hamtramck High School,Team - Cosmos,"Hamtramck, MI, USA",http://i-m.co/teamcosmos/teamwebsite
124,,,"Waterford, CT, USA",None
125,Textron Systems/National Grid/Northeastern University &amp; Brookline High School &amp; Boston Latin School &amp; Revere High School,NUTRONS,"Boston, MA, USA",http://www.nutrons.com
126,Nypro Inc. &amp; Clinton High School,Gael Force,"Clinton, MA, USA",http://team126.org/
127,None,None,"None",None
128,American Electric Power/Grandview Heights Marble Cliff Education Foundation &amp; Grandview Heights High School,The Botcats,"Grandview Heights, OH, USA",http://www.GrandviewFIRST.com/
130,None,None,"None",None
131,BAE SYSTEMS / Rockwell Automation / New Hampshire Orthopaedic Center / GlobaFone / PTC &amp; Central High School,C.H.A.O.S.,"Manchester, NH, USA",http://www.chaos131.com
132,,,"Wilton Manors, FL, USA",None
133,Texas Instruments / Lockheed Martin / Fairchild Semiconductor / Robotics Institute of Maine / TEM Inc. &amp; Bonny Eagle High School,B.E.R.T,"Standish, ME, USA",http://www.bert133.org
134,AG New England/BAE Systems/Metal Casting Technology/New Hampshire Technical Institute &amp; Pembroke Academy,Team Discovery,"Pembroke, NH, USA",http://www.134team.org
135,PHM Community/AEP-American Electric Power/Bayer/PraxAir/AM General &amp; Penn High School,The Black Knights,"Mishawaka, IN, USA",http://robotics.phmschools.org
136,Plainfield High,Killer Kardinals,"Plainfield, NJ, USA",http://wwwkkteam136.webstarts.com
138,Monarch Instrument/BAE Systems/Control Air/LCF Amps &amp; Souhegan High School,Entropy,"Amherst, NH, USA",http://www.robotics138.org
140,Brooks Automation/Raytheon &amp; Tyngsborough High School,Tigers,"Tyngsboro, MA, USA",http://www.surko.net/first
141,JR Automation Technologies, Inc. / Engineered Automation Systems, Inc. / Magna Sealing and Glass Systems / Johnson Controls / Bradford Company / Holland Board of Public Works / Suntec Services / Koop &amp; Burr Insurance / Buhler Prince &amp; West Ottawa High School,WO-BOT,"Holland, MI, USA",http://team141.net/
144,The Kroger Company/Alliance Robotics/Clippard Instruments/National Instruments/P&amp;amp;G/Cincinnati State Technical and Community College/Craftsman Electric/Joseph Auto Group/Wiseway Supply/Queen City Sausage &amp; Butler Technology and Career Development Schools &amp; Colerain High School &amp; Northwest High School,The R.O.C.K,"Cincinnati, OH, USA",http://frcteam144.org
145,NASA / Norwich Pharmaceuticals / The Balloon Detail &amp; Norwich High School &amp; Sherburne-Earlville High School &amp; Unadilla Valley High School,T-Rx,"Norwich, NY, USA",http://www.trx145.net/
146,None,None,"None",None
147,Raytheon - St. Petersburg &amp; Dixie Hollins HS &amp; Boca Ciega HS &amp; St Petersburg HS,Deep Thunder,"St. Petersburg, FL, USA",http://www.deepthunder.com/
148,Innovation First International/L-3 Mission Integration &amp; Greenville High School,Robowranglers,"Greenville, TX, USA",http://www.robowranglers148.com/
151,Comcast / BAE Systems / Olsen Foundation / Corfin Industries / Sweeney Metal Fabricators, Inc / Spartan Technology Solutions &amp; Nashua Technology Center @ the Nashua High Schools,Tough Techs,"Nashua, NH, USA",http://www.nashua151.org
153,,,"Bridgewater, NJ, USA",None
155,United Techologies Pratt &amp; Whitney Division, East Hartford, CT &amp; C.M. McGee Middle School &amp; Berlin High School,The Technonuts,"Berlin, CT, USA",http://usfirst.berlinwall.org/
156,GE/Eriez &amp; Fairview High School,RPM  - Robotics Plus Mayhem,"Fairview, PA, USA",http://www.rpm156.com/
157,EMC2/Boston Scientific/Staples/Raytheon/Entwistle &amp; Assabet Valley Regional Technical HS,AZTECHS 157,"Marlborough, MA, USA",http://www.aztechs157.net/
158,Solid Edge - UGS &amp; Great Oaks,The Cobras,"Milford, OH, USA",http://cobras158.yi.org
159,PHS Alpine Robotics / Nordson / AMD / GST / OtterCares / Hewlett Packard / Wolf Robotics / Advanced Energy / Metal Distributors / Randy Fischer / DGCD / Exponential Engineering / Ft Collins Plastics / Gulley Greenhouse &amp; Poudre High School,Alpine Robotics,"Fort Collins, CO, USA",http://www.alpinerobotics.com/
161,None,None,"None",None
162,None,None,"None",None
163,None,None,"None",None
165,US Naval Academy &amp; Broadneck High School &amp; Severn School High School,Das Goat,"Annapolis, MD, USA",None
166,BAE Systems / Raytheon / Brookstone / Fidelity Investments &amp; Merrimack High School,Chop Shop,"Merrimack, NH, USA",http://www.chopshop166.com
167,Rockwell Collins &amp; West High School &amp; City High School,Children of the Corn,"Iowa City, IA, USA",http://www.icrobotics.org
168,North Miami Beach Senior High,Mechanical Investigation Bureau,"North Miami Beach, FL, USA",http://www.nmbrobotics.com
169,None,None,"None",None
171,UW-Platteville/John Deere &amp; Area Schools,Cheese Curd Herd,"Platteville, WI, USA",http://www.team171.com
172,Lanco Assembly Systems / IDEXX Laboratories / Robotics Institute of Maine &amp; Falmouth High School &amp; Gorham High School,Northern Force,"Gorham/Falmouth, ME, USA",http://www.northernforce.org/wordpress
173,United Technologies/JP Fabrication/CNC Software/Trumpf &amp; Tolland HS &amp; Rockville HS &amp; E. Hartford HS &amp; Manchester home school &amp; CIBA,R.A.G.E. (Robotics &amp; Gadget Engineering),"Tolland, CT, USA",http://ragerobotics.com
174,UTC Carrier / SRC / Lockheed Martin / Welch Allyn / Time Warner Cable / TopCoder / National Grid &amp; Liverpool High School,Arctic Warriors,"Liverpool, NY, USA",http://www.snobot.org/
175,United Technologies Aerospace  Systems Space Systems/PTC &amp; Enrico Fermi High School,Buzz Robotics,"Enfield, CT, USA",http://buzzrobotics.org
176,UTC Aerospace Systems/Praxair &amp; Windsor Locks High School &amp; Suffield High School,Aces High,"Windsor Locks, CT, USA",http://www.aceshigh176.org
177,ClearEdge Power / United Technologies / Gain Talent / EBA&amp;amp;D &amp; South Windsor High School,Bobcat Robotics,"South Windsor, CT, USA",http://www.bobcatrobotics.org
178,UTC Otis Elevator/ebm-papst Inc./UTC Sikorsky/Parker Hanifin Corp. Fluid Control Div./Barnes Group Inc. &amp; Farmington High School,The 2nd Law Enforcers,"Farmington, CT, USA",http://www.farmingtonrobotics.org
179,UTC/EDF/Lockheed Martin/FP&amp;amp;L/Florida Turbine Technologies &amp; Suncoast High School,The Children of the Swamp,"Riviera Beach, FL, USA",http://www.179swampthing.org
180,Pratt &amp; Whitney / Florida Power &amp; Light / Aerojet Rocketdyne / Education Foundation of Martin County &amp; Jensen Beach High School &amp; Martin County High School &amp; South Fork High School &amp; Clark Advanced Learning Center (High School),S.P.A.M.,"Stuart, FL, USA",http://www.spamrobotics.com
181,United Technologies/Pratt &amp; Whitney &amp; Hartford Public Schools,Birds Of Prey,"Hartford, CT, USA",http://www.bop181.org
182,Edsel Ford High School,ThunderQuest,"Dearborn, MI, USA",None
184,Ford Motor Company / Fordson High School Alumni Association &amp; Fordson High School &amp; Dearborn Public Schools Education Foundation,F.R.E.D.,"Dearborn, MI, USA",http://www.geocities.com/fordson184
186,Walt Disney World Design and Engineering &amp; Gateway High School,The Alliance,"Lake Buena Vista, FL, USA",http://www.ghs.osceola.k12.fl.us/FIRST/186Home.htm
188,Scotiabank/Bell Canada/Toronto District School Board &amp; Woburn Collegiate Institute,Blizzard,"Toronto, ON, Canada",http://www.team188.com
190,WPI &amp; Massachusetts Academy of Math and Science,Gompei and the H.E.R.D.,"Worcester, MA, USA",http://users.wpi.edu/~first/
191,Xerox Corporation &amp; Joseph C. Wilson Magnet High School,X-CATS,"Rochester, NY, USA",http://www.x-cats.org
192,SRI/Vander-Bend/Madco Welding Supply/Paradigm Counsel/Zonare/Tillotson/Red Fury/Amex &amp; Gunn High School,GRT,"Palo Alto, CA, USA",http://www.gunnrobotics.com
193,Mt. Olive Board of Education &amp; Mt. Olive High School,MORT Beta,"Flanders, NJ, USA",http://www.mort11.org
195,United Technologies / Mohawk Northeast / Conveyco / Pyramid Technologies / Plainville Electrical Products Company / Tiger Enterprises / Saucier Mechanical Services &amp; Southington High School,Cyber Knights,"Southington, CT, USA",http://www.team195.com
197,None,None,"None",None
201,General Motors Research and Development / TARDEC / Atlas Copco / Elite Auto / Rickman Enterprise &amp; Rochester High School,The FEDS,"Rochester Hills, MI, USA",http://www.feds201.com/
202,None,None,"None",None
203,Campbell&#39;s Soup &amp; Camden County Technical  School,One TUFF Team (Team United for FIRST),"Sicklerville, NJ, USA",http://www.rockyrobot.com
204,Lockheed Martin / Renesas / Eastern Regional High School Board of Education / Eastern Educational Foundation &amp; Eastern Camden County Regional High Schools,Eastern Robotic Vikings,"Voorhees, NJ, USA",http://www.team204.tk/
207,The Boeing Company/Walt Disney Imagineering &amp; Centinela Valley Union High School District,METALCRAFTERS,"Hawthorne, CA, USA",http://HHSEngineering.com
209,Texas Instruments &amp; Dighton Rehoboth Regional High School,,"North Dighton, MA, USA",None
211,Eastman Kodak Company &amp; John Marshall High School,MAK,"Rochester, NY, USA",http://www.rcsdk12.org/marshall/index.html 
212,Dr. Michael Krop High School,Robotics And Creative Engineering,"Miami, FL, USA",http://www.firstrobotics.net/212		  	
213,Keene High First Robotics Club,The Dirty Birds,"Keene, NH, USA",None
215,,,"El Paso, TX, USA",None
